Performance Statistics   2018-04-11 20:31:00 - 2018-04-11 20:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                              12.0          12          12         0.0           1
LoadClass                                                0.7           0           3         1.1           6
MenuItem.royaldiary$Farmer.browse                     1153.0        1153        1153         0.0           1
Messages.searchClasspath                                 0.1           0           8         0.6         590
Messages.searchFiles                                     0.0           0          15         0.7         590
Metadata.replaceExtendedMetaClasses                      1.5           1           2         0.5           2
PersistenceSecurity.applyConstraints(..)                10.3           2          27        11.8           3
QueryParser.getEntityAlias()                             1.3           0           3         1.2           3
QueryParser.getEntityName()                             15.5           0         290        60.0          22
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.1           0           2         0.4          19
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          19
QueryParser.getParamNames()                              0.2           0           4         0.8          22
QueryParser.hasIsNullCondition(..)                      11.5           1          22        10.5           2
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           4
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           4
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           4
QueryTransformer.addWhereAsIs(..)                        0.5           0           1         0.5           4
QueryTransformer.getResult()                             0.5           0           2         0.9           4
QueryTransformer.replaceWithSelectEntityVariable(..)         1.3           1           2         0.4           4
SearchFolders                                           31.0          31          31         0.0           1
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           3
ViewRepository.init.ViewRepositoryClientImpl            28.0          28          28         0.0           1
ViewRepository.init.ViewRepositoryImpl                  26.0          26          26         0.0           1

Performance Statistics   2018-04-11 21:01:00 - 2018-04-11 21:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0.1           0           1         0.3          40
Messages.searchFiles                                     0.3           0          11         1.7          40
Metadata.replaceExtendedMetaClasses                      1.0           1           1         0.0           1

Performance Statistics   2018-04-11 21:02:00 - 2018-04-11 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 1.3           0          32         6.1          50
Messages.searchFiles                                     0.0           0           1         0.1          50
Metadata.replaceExtendedMetaClasses                      1.0           1           1         0.0           1
QueryParser.getEntityName()                             61.0           2         177        82.0           3
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getParamNames()                              0.0           0           0         0.0           3
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           2
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           2
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           2
QueryTransformer.addWhereAsIs(..)                        0.5           0           1         0.5           2
QueryTransformer.getResult()                             1.0           0           2         1.0           2
QueryTransformer.replaceWithSelectEntityVariable(..)         1.5           1           2         0.5           2

Performance Statistics   2018-04-11 21:03:00 - 2018-04-11 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.5           0           1         0.5           2
Messages.searchClasspath                                 0.0           0           1         0.2          82
Messages.searchFiles                                     0.1           0           7         0.8          82

Performance Statistics   2018-04-11 21:34:00 - 2018-04-11 21:35:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0.1           0           2         0.3          40
Messages.searchFiles                                     0.8           0          33         5.2          40

Performance Statistics   2018-04-11 21:56:00 - 2018-04-11 21:57:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Messages.searchClasspath                                 0.2           0           7         0.9          90
Messages.searchFiles                                     0.2           0          14         1.5          90
Metadata.replaceExtendedMetaClasses                      1.0           1           1         0.0           2
QueryParser.getEntityName()                            102.0           2         299       139.3           3
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0           3
QueryParser.getParamNames()                              0.0           0           0         0.0           3
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           2
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           2
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           2
QueryTransformer.addWhereAsIs(..)                        0.5           0           1         0.5           2
QueryTransformer.getResult()                             0.5           0           1         0.5           2
QueryTransformer.replaceWithSelectEntityVariable(..)         2.0           1           3         1.0           2

Performance Statistics   2018-04-11 21:57:00 - 2018-04-11 21:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
AppFolders                                              12.5           9          16         3.5           2
LoadClass                                                0.2           0           2         0.6          12
MenuItem.royaldiary$Farmer.browse                      852.5          82        1623       770.5           2
Messages.searchClasspath                                 0.0           0           6         0.3         500
Messages.searchFiles                                     0.0           0           1         0.0         500
PersistenceSecurity.applyConstraints(..)                 3.0           1           7         2.1           6
QueryParser.getEntityAlias()                             1.4           0           3         1.0           5
QueryParser.getEntityName()                              1.0           0           7         1.6          40
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          34
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           1         0.2          34
QueryParser.getParamNames()                              0.2           0           5         0.9          40
QueryParser.hasIsNullCondition(..)                       4.0           1          11         4.1           4
QueryParser.isCollectionSecondaryEntitySelect()          0.0           0           0         0.0           6
QueryTransformer.addEntityInGroupBy(..)                  0.0           0           0         0.0           6
QueryTransformer.addFirstSelectionSource(..)             0.0           0           0         0.0           6
QueryTransformer.addWhereAsIs(..)                        0.0           0           0         0.0           6
QueryTransformer.getResult()                             0.0           0           0         0.0           6
QueryTransformer.replaceWithSelectEntityVariable(..)         0.5           0           2         0.8           6
SearchFolders                                           23.0          12          34        11.0           2
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0           6
ViewRepository.init.ViewRepositoryClientImpl            19.0          19          19         0.0           1
ViewRepository.init.ViewRepositoryImpl                  14.0          14          14         0.0           1

